Name,URL,Summary,Category
Sexual Assault & Domestic Violence Response and Recovery Team (SARRT),https://volunteerinfo.org/sexual-assault-domestic-violence-response-and-recovery-team-sarrt/,"The Sexual Assault & Domestic Violence Response and Recovery Team at Highland Hospital in Oakland has both in-person and virtual opportunities to provide care and support to victims of domestic violence and sexual assault, including hotline counseling, medical and legal …","Abuse and Neglect, Advocacy and Human Rights, Conflict Resolution, Counseling, Therapy, and Emotional Support, Domestic Violence, East Bay, Health and Medicine, Mentorship and Tutoring, Peninsula, South Bay, Women"
There With Care of the Bay Area,https://volunteerinfo.org/there-with-care-of-the-bay-area/,Description of Organization and/or Volunteer Opportunities Available: There With Care’s mission is to provide a wide range of thoughtful and fundamental services to families and children during the critical phase of a medical crisis. We serve families referred by medical …,"Abuse and Neglect, Advocacy and Human Rights, Children and Families, Civic Engagement, Community Development, Counseling, Therapy, and Emotional Support, Crisis Support, East Bay, Education and Literacy, Emergency and Safety, Food and Clothing, Human Services, Hunger, Mental Health, North Bay, Peninsula, Seniors, South Bay, Victim Support"
Little Brothers -Friends of the Elderly San Francisco,https://volunteerinfo.org/little-brothers-friends-of-the-elderly-san-francisco/,Little Brothers – Friends of the Elderly (LBFE) is a national network of non-profit organizations committed to relieving isolation and loneliness among older adults. We offer to the people of goodwill the opportunity to join our older adults in friendship …,"Abuse and Neglect, Civic Engagement, Housing and Homelessness, Independent Living, Peninsula, San Francisco, Seniors"
The Living Room,https://volunteerinfo.org/the-living-room/,"We offer food services, transitional housing, and a Life Center offering counseling, peer support, art therapy, legal aid, pet care, showers, and more. Volunteers are able to work in the kitchen providing meal prep and food delivery. We also use …","Abuse and Neglect, Children and Families, Civic Engagement, Community Development, Counseling, Therapy, and Emotional Support, Crisis Support, East Bay, Education and Literacy, Housing and Homelessness, Human Services, Hunger, Mentorship and Tutoring, North Bay, Poverty and Hunger, Sonoma County, Women"
Care Through Touch Institute,https://volunteerinfo.org/care-through-touch-institute/,Description of Organization and/or Volunteer Opportunities Available:Our mission is to be present with suffering and promote healing through human connection. We began in l983 in Berkeley caring primarily for people living with HIV/AIDS. In 1997 we relocated to San Francisco. …,"Abuse and Neglect, Community Development, Counseling, Therapy, and Emotional Support, Health and Medicine, Human Services, Mental Health, Peninsula, San Francisco"
Project Delta View Cats,https://volunteerinfo.org/project-delta-view-cats/,"Project Delta View Cats is a 100 % volunteer-led program that ensures all community cats in our pilot project, in and around our marina area, are trapped, altered, vaccinated and returned back to the location they were found. Friendly community …","Abuse and Neglect, Animals, Central Valley, East Bay, Stockton"
Shelter Tech,https://volunteerinfo.org/shelter-tech/,"Shelter Tech aims to build the most reliable, up-to-date online database of services available to homeless and underserved communities in San Francisco. We are relying on the power of our community (that is you!) to help us vet information to …","Abuse and Neglect, Advocacy and Human Rights, Civic Engagement, Computers and Technology, Crisis Support, East Bay, Housing and Homelessness, Human Services, North Bay, Peninsula, Policy Advocacy, Poverty and Hunger, San Francisco, South Bay"
Circle of Care,https://volunteerinfo.org/circle-of-care/,"Playful and compassionate volunteers needed to help children living with serious illness and/or grief and loss in their families. We are Circle of Care, a program of East Bay Agency for Children in Oakland. Learn to facilitate peer support groups …","Abuse and Neglect, Children and Families, Counseling, Therapy, and Emotional Support, Crisis Support, East Bay, Education and Literacy, Mental Health, Mentorship and Tutoring, North Bay, Oakland, Peninsula, Performing and Fine Arts, South Bay, Youth"
Safe & Sound,https://volunteerinfo.org/safe-sound/,"OUR MISSION To prevent child abuse and reduce its devastating impact. OUR VALUES Be responsible for the wellbeing of children. Whether working directly with children, their families or caregivers, communities, or systems, our goal is to create the greatest positive …","Abuse and Neglect, Adoption and Foster Care, Advocacy and Human Rights, Children and Families, Counseling, Therapy, and Emotional Support, Domestic Violence, East Bay, Justice and Legal, Mental Health, North Bay, Peninsula, Policy Advocacy, San Francisco, South Bay"
Bay Area Crisis Nursery,https://volunteerinfo.org/bay-area-crisis-nursery/,"Bay Area Crisis Nursery is a gateway organization, dedicated to helping children and their families in times of extraordinary stress. We often see evidence of how larger social, economic and urban issues are affecting our local communities and the families …","Abuse and Neglect, Children and Families, Concord, Counseling, Therapy, and Emotional Support, Crisis Support, Domestic Violence, East Bay, Emergency and Safety, Peninsula, South Bay, Youth"
