Organization Name,Website Link,Category,Brief Description,Address,
Samaritan House,https://samaritanhousesanmateo.org/,Human Services / Homelessness & Poverty Alleviation,"Provides comprehensive support to low-income individuals and families in San Mateo County, including food, medical/dental services, shelter, counseling, and financial empowerment programs, aiming to foster self-reliance and prevent homelessness.","4031 Pacific Blvd, San Mateo, CA 94403",
Second Harvest of Silicon Valley,https://www.shfb.org/,Human Services / Food Security,"Dedicated to ending hunger in Santa Clara and San Mateo counties by rescuing and distributing food to families, seniors, and students, and offering nutrition education and CalFresh application assistance.","4001 North First Street, San Jose, CA 95134 (Serves San Mateo County)",
Peninsula Humane Society & SPCA,https://phs-spca.org/,Animal Welfare,"Dedicated to animal welfare in San Mateo County, offering adoption services, animal rescue and control (contracted by the county), cruelty investigations, education programs, a kitten nursery, and a pet food bank.","12 Airport Blvd, San Mateo, CA 94401",
Coastside Hope,https://coastsidehope.org/,Human Services / Community Support,"Chartered by San Mateo County as a primary core human services agency for the mid-coast. Provides essential support like food, clothing, housing assistance, immigration services, tax prep, and digital literacy programs to diverse populations.","99 Ave Maria, El Granada, CA 94018 (Note: PDF also lists 248 Main St., Suite 200, Half Moon Bay, CA 94019 [cite: 187])",
Pacifica Resource Center (PRC),https://www.pacresourcecenter.org/,Human Services / Community Support,"A core agency in San Mateo County providing groceries, emergency financial assistance for rent/mortgage, and homeless services to individuals and families in Pacifica and along the coast, empowering them towards stability.","1809 Palmetto Ave, Pacifica, CA 94044",
StarVista,https://star-vista.org/,Mental Health & Crisis Services,"Provides counseling, case management, skill development, and crisis prevention programs to individuals of all ages in San Mateo County, including a 24/7 Crisis Hotline, with a significant focus on youth and young adults.","610 Elm St, Suite 212, San Carlos, CA 94070",
Boys & Girls Clubs of North San Mateo County,https://theclubs.org/,Youth Development / Education,"Empowers youth aged 4.5 to 18 through programs promoting academic success, health & life skills, character & leadership, and community sports across multiple sites in South San Francisco and Pacifica.","201 W Orange Ave, South San Francisco, CA 94080",
AbilityPath (formerly Abilities United and Gatepath),abilitiesunited.org,Disability Services,"Dedicated to providing individuals with developmental and physical disabilities the rights, resources, and opportunities to lead chosen lives, fostering full community participation through comprehensive training, education, and support.","350 Twin Dolphin Dr #123, Redwood City, CA 94065",
Habitat for Humanity Greater San Francisco,https://habitatgsf.org/,Housing/Community Development,"Builds and sustains affordable homeownership opportunities for families and provides critical home repairs for seniors and low-income individuals in Marin, San Francisco, and San Mateo counties.","300 Montgomery St #450, San Francisco, CA 94104 (Serves San Mateo County)",
Health Plan of San Mateo (HPSM),https://www.hpsm.org/,Health Services / Healthcare Access,"Helps San Mateo County's vulnerable and underinsured residents achieve optimal health by administering Medi-Cal and CareAdvantage plans, covering a wide range of medical, dental, mental health, and doula services.","801 Gateway Blvd #100, South San Francisco, CA 94080",
LifeMoves,https://www.lifemoves.org/,Human Services / Homelessness Alleviation,"Provides solutions to homelessness in Silicon Valley through emergency interim shelter, food, clothing, intensive case management, and community outreach for diverse populations, aiming for successful return to stable housing.","181 Constitution Dr, Menlo Park, CA 94025 (Administrative Office; multiple service sites in San Mateo County)",
Nuestra Casa,https://nuestracasa.org/,Community Development / Advocacy,"Builds community leaders by uplifting Spanish-speaking and immigrant voices in East Palo Alto and surrounding areas, focusing on environmental and water justice, civic engagement, and housing advocacy to protect and promote affordable housing.","2300 University Ave, East Palo Alto, CA 94303",
Rape Trauma Services of San Mateo County (RTS),http://rapetraumaservices.org/,Human Services / Crisis Intervention,"Works to eliminate all forms of violence, particularly sexual assault and abuse, by providing counseling, advocacy, and education, informed by their understanding of traumatic experiences and cycles of violence.","PO Box 5506, Burlingame, CA 94011 (Mailing); 1515 S. El Camino Real, Suite 201, San Mateo, CA 94402 (Office)",
Rebuilding Together Peninsula (RTP),https://rebuildingtogetherpeninsula.org/,Housing / Home Repair,"Provides essential safe and healthy housing-related repair services at no cost to income-qualified homeowners and nonprofit facilities throughout San Mateo County and northern Santa Clara County, aiming to repair homes, revitalize communities, and rebuild lives.","1500 Fashion Island Blvd Suite 100, San Mateo, CA 94404 (Mailing); Physical: Call for location",
Friends of San Mateo County Libraries,https://smcl.org/friends-of-the-library/,Education / Library Support,"A volunteer-driven organization that supports local community libraries by raising funds for special projects, including local programming, outreach events, and book sales, enhancing library services and community engagement.",(Supports multiple library locations in San Mateo County; specific central address not applicable),
TheatreWorks Silicon Valley,https://theatreworks.org/,Arts & Culture,"An outstanding professional theatre dedicated to celebrating the human spirit through innovative productions, new works, and education programs, engaging the diverse Silicon Valley community.","Administrative Offices: 350 Twin Dolphin Drive, Ste 127, Redwood City, CA 94065 (Performs at various locations including Mountain View Center for the Performing Arts)",
Peninsula Family Service (PFS),https://peninsulafamilyservice.org/,Human Services / Family Support,"Dedicated to ""Opening Doors, Changing Lives"" by providing community resources, tools, support, and services to individuals aged 0-100, including early learning, financial empowerment, employment services for older adults, and general older adult services.","24 Second Ave, San Mateo, CA 94401",
The Riekes Center for Human Enhancement,https://www.riekes.org/,Education / Personal Development,"Provides tailored programs in Creative Arts, Athletic Fitness, Nature Awareness, and Community Leadership, fostering individual goal achievement, character building, and transferable life skills in a non-judgmental and respectful environment.","3455 Edison Way, Menlo Park, CA 94025",
The Center for Independence of Individuals with Disabilities (CID),https://www.cidsanmateo.org/,Disability Services / Advocacy,"Promotes full and equal community integration for people with disabilities through support services, community awareness, and advocacy for systems change, offering independent living support, housing preservation, and disaster resources.","1528 S El Camino Real #306, San Mateo, CA 94402",
Caminar,https://www.caminar.org/,Mental Health & Substance Use Treatment,"Delivers compassionate care through mental health and substance use treatment services, aiming to help individuals and families with complex behavioral health needs lead fulfilling lives and thrive through preventative programs, wrap-around services, and education.","2600 S El Camino Real #200, San Mateo, CA 94403 (Headquarters; multiple service locations)",
Puente de la Costa Sur,https://mypuente.org/,Human Services / Community Resource,"Functions as ""The Trusted Bridge to Independence"" and ""The Community Resource Center for the South Coast,"" working to build and increase equity for all South Coast residents by providing essential programs and services that serve as a lifeline for families.","620 North St, Pescadero, CA 94060",
Daly City Partnership,https://www.dcpartnership.org/,Human Services / Community Development,"Focuses on ""Empowering Generations, Building Community, Shaping Futures"" by offering various programs and services, including a community service center, family resource center, after-school academic programs, and healthy aging initiatives.","350 90th St, Daly City, CA 94015 (Also listed as a Core Service Agency address [cite: 185])",
HIP Housing,https://hiphousing.org/,Housing / Affordable Housing,"Dedicated to creating homes for thousands of people in San Mateo County through various housing programs, including home sharing, self-sufficiency, and housing readiness initiatives.","800 S Claremont St #210, San Mateo, CA 94402",
Legal Aid Society of San Mateo County (Bay Area Legal Aid),https://baylegal.org/,Legal Services / Poverty Law,"Addresses the causes and consequences of poverty by providing high-quality civil legal assistance and advocacy to low-income individuals in the Bay Area, including advice, self-help clinics, and representation, and engages in systemic advocacy.","1048 El Camino Real # A, Redwood City, CA 94063 (San Mateo County Office)",
Project READ - San Mateo County,https://www.cityofsanmateo.org/927/Adult-Literacy,Education / Adult Literacy,"The adult literacy program of the San Mateo Public Library, providing free, confidential literacy tutoring to adults since 1985 to improve reading and writing skills, enabling personal learning goals and enhancing quality of life in the City of San Mateo and surrounding areas.","55 W 3rd Ave, San Mateo, CA 94402 (Located at San Mateo Main Library)",
Silicon Valley Bicycle Coalition (SVBC),https://bikesiliconvalley.org/,Environmental / Transportation Advocacy,"Aims to foster healthier and more equitable communities in San Mateo and Santa Clara counties by promoting bicycling as a safe and accessible mode of transportation through education, advocacy, and events, emphasizing that safe streets save lives.","1500 Wyatt Dr #8, Santa Clara, CA 95054 (Serves San Mateo County)",
Sustainable San Mateo County (SSMC),https://sustainablesanmateo.org/,Environmental / Sustainability,"Dedicated to fostering a sustainable future for everyone in San Mateo County, working with local government and community leaders to balance environment, economy, and social equity, and addressing the climate crisis through indicators reports, awards, and advocacy.","PO Box 5582, San Mateo, CA 94402 (Mailing); Physical address varies/not central office",
The Ecumenical Hunger Program (EHP),www.ehpcares.org,Human Services / Food & Basic Needs,"Dedicated to helping those in need by offering essential basic necessities like food and clothing, and developing new solutions and programs to address evolving challenges, aiming to empower low-income families and strengthen the community.","2411 Pulgas Ave, East Palo Alto, CA 94303",
Family Connections,https://familyconnections.org/,Family Services / Early Childhood Education,"A free, bilingual family learning community serving families with young children across San Mateo County, focusing on whole family education and support to build strong, resourced, and resilient families and a more equitable future.","Multiple sites including: 410 Terminal Ave, Menlo Park, CA 94025; 200 Commerical St, Sunnyvale, CA 94086 (Serves SMC)",
KIPP Public Schools Northern California,https://kippnorcal.org/,Education / Charter Schools,"Creates joyful, academically excellent schools that prepare students with the skills and confidence to pursue college, career, and beyond, enabling them to lead fulfilling lives and contribute to a more just world.","KIPP Valiant Community Prep: 1929 University Ave, East Palo Alto, CA 94303 (Example of one San Mateo County location)",
College Track,https://collegetrack.org/,Education / College Access & Completion,"The most comprehensive college completion program in the U.S., supporting scholars to overcome systemic barriers and be the first in their families to earn a bachelor's degree, and subsequently launch into meaningful careers through a 10-year integrated program.","2118 University Ave, East Palo Alto, CA 94303 (East Palo Alto Site)",
CASA of San Mateo County,https://www.casaofsanmateo.org/,Child Welfare / Advocacy,"Ensures children and youth in the child welfare and juvenile justice systems have a caring and consistent adult mentor who advocates for their needed resources, providing life-affirming connections and empowering young people to reach their fullest potential.","Sobrato Center for Nonprofits, 330 Twin Dolphin Dr #135, Redwood City, CA 94065",
Child Care Coordinating Council of San Mateo County (4Cs),https://www.sanmateo4cs.org/,Child Care / Family Support,"A trusted family resource agency that helps families find quality child care and other critical resources, assists with child care costs, and provides professional development and training for child care providers, aiming to ensure every child enjoys quality care and early learning.","210A Twin Dolphin Dr, Redwood City, CA 94065",
